เลขทะเบียน,ชื่อบริษัทภาษาไทย,ชื่อบริษัทภาษาอังกฤษ,ประกอบธุรกิจ,หมวดธุรกิจ,ที่ตั้ง,สถานะ,วันที่จดทะเบียน,วันที่จดทะเบียน(ชื่อเดือน),ทุนจดทะเบียน,ก่อตั้งโดย,ข้อมูลสำหรับติดต่อ,ข้อมูลสำหรับการติดต่อ,เบอร์โทร,Website,หลักทรัพย์,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่ร้าง,วันที่เลิก,เสร็จชำระบัญชี,เว็บไซต์,พิพากษาล้มละลาย,ศาลสั่งพิทักษ์ทรัพย์,ทะเบียน,จดทะเบียน,ธุรกิจ
'0125563001627,บริษัท บีแอลเอชวายสิบสี่ จำกัด,"BLHY14 CO., LTD.",ประกอบกิจการทำนา ทำสวน ทำไร่,การปลูกข้าวจ้าว,91/86 หมู่บ้าน พาทิโอ หมู่ที่ 5 ตำบลบ้านใหม่ อำเภอปากเกร็ด จ.นนทบุรี 11120,ยังดำเนินกิจการอยู่,16/1/2563,16 มกราคม 2563,50000000,"กรรมการ: นายศุภชัย บุริสตระกูล, นางสาวนิดา ตั้งวงศ์ศิริ",,False,,,,https://www.dataforthai.com/company/0125563001627/,,,,,,,,,,
'0105563099589,บริษัท ป่า ดอนพุทรา จำกัด,"PA DONPHUTSA CO., LTD.",กิจกรรมสนับสนุนการผลิตพืชผล,กิจกรรมสนับสนุนการผลิตพืชผลซึ่งมิได้จัดประเภทไว้ในที่อื่น,81/1 ซอยเพชรเกษม 54 แยก 3 แขวงบางด้วน เขตภาษีเจริญ กรุงเทพมหานคร 10160,ยังดำเนินกิจการอยู่,8/7/2563,8 กรกฎาคม 2563,260000000,"กรรมการ: นายวิวัฒน์ ทีฆคีรีกุล, นายชยุตม์ อุดมเจริญชัยกิจ",,False,,,,https://www.dataforthai.com/company/0105563099589/,,,,,,,,,,
'0115556002761,บริษัท เปรมสุข ฟาร์ม จำกัด,PREMSOOK FARM COMPANY LIMITED,ทำนา ทำสวน ทำไร่ เลี้ยงสัตว์และกิจการคอกปศุสัตว์เพาะปลูกและค้าพืชผลทางการเกษตรทุกชนิด,การปลูกข้าวจ้าว,168 หมู่ที่ 9 ซอยแบริ่ง 31 ถนนสุขุมวิท ตำบลสำโรงเหนือ อำเภอเมืองสมุทรปราการ จ.สมุทรปราการ 10270,ยังดำเนินกิจการอยู่,1/2/2556,1 กุมภาพันธ์ 2556,100000000,"กรรมการ: นายเลิศชัย วงค์ชัยสิทธิ์, นายชนะ จึงโสภณวิทวัส, นางกมลภัทร วงค์ชัยสิทธิ์, นางสาวอริสา จึงโสภณวิทวัส",,False,,,,https://www.dataforthai.com/company/0115556002761/,,,,,,,,,,
'0115559022631,บริษัท เอ็กเซล ลิฟวิ่ง หลักสี่ จำกัด,EXCEL LIVING LAKSI COMPANY LIMITED,การปลูกข้าวเจ้า,การปลูกข้าวจ้าว,95/66 หมู่บ้านกรีนวัลเลย์ หมู่ที่ 3 ถนนบางนา-ตราด กม.15 ตำบลบางโฉลง อำเภอบางพลี จ.สมุทรปราการ 10540,ยังดำเนินกิจการอยู่,19/10/2559,19 ตุลาคม 2559,51000000,"กรรมการ: นายสิงห์น้อย บุณยรักษ์, นางสาวซินเทียสุนทรี บุณยรักษ์, นางสาวซิลเวียสุธีรา บุณยรักษ์, นายอรรณพ ต้นน้ำ",,False,,,,https://www.dataforthai.com/company/0115559022631/,,,,,,,,,,
'0745563006119,บริษัท เอชเอ็นที 2021 จำกัด,"HNT 2021 CO., LTD.",การปลูกข้าวจ้าว การเกษตร ทำนาข้าวเพื่อขาย,การปลูกข้าวจ้าว,99/192 หมู่ที่ 6 ตำบลพันท้ายนรสิงห์ อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,4/8/2563,4 สิงหาคม 2563,50000000,กรรมการ: นายเฉลิมเกียรติ แซ่เฮ้ง,,False,,,,https://www.dataforthai.com/company/0745563006119/,,,,,,,,,,
'0125544007330,บริษัท ชาเล่ย์ แอนด์ วัลเล่ย์ จำกัด,"CHALET & VALEY CO., LTD.",สวนเกษตร และ รีสอร์ท,การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,14 ซอยงามวงศ์วาน 8 ถนนงามวงศ์วาน ตำบลบางเขน อำเภอเมืองนนทบุรี จ.นนทบุรี 11000,ยังดำเนินกิจการอยู่,21/8/2544,21 สิงหาคม 2544,300000000,"กรรมการ: นายวินัย วีระภุชงค์, นายสุภชัย วีระภุชงค์, นางสาวทิพย์วรรณ วีระภุชงค์, นายวโรดม วีระภุชงค์, นางสาววราภรณ์ วีระภุชงค์",,False,,,,https://www.dataforthai.com/company/0125544007330/,,,,,,,,,,
'0105561050981,บริษัท นาทีแสง จำกัด,NAATEE SAENG COMPANY LIMITED,,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,2 ซอยพรีเมียร์ 1 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,ยังดำเนินกิจการอยู่,20/3/2561,20 มีนาคม 2561,39900000,"กรรมการ: นายณัฐพงษ์ ศรีสุโข, นายอดิศักดิ์ ศรีสุโข, นางชฎาภรณ์ ศรีสุโข",,False,,https://www.facebook.com/naateesaeng/,,https://www.dataforthai.com/company/0105561050981/,ดูตำแหน่งงานจาก JOBBKK,,,,,,,,,
'0107537001501,บริษัท แพนเอเซียฟุตแวร์ จำกัด (มหาชน),PAN ASIA FOOTWEAR PUBLIC COMPANY LIMITED,ผลิตรองเท้าและกระเป๋า,การผลิตรองเท้าอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,620/5 หมู่ที่ 11 ตำบลหนองขาม อำเภอศรีราชา จ.ชลบุรี,ยังดำเนินกิจการอยู่,12/5/2537,12 พฤษภาคม 2537,275400000,"กรรมการ: นายบุญเกียรติ โชควัฒนา, นายสมมาต ขุนเศษฐ, นายวิชิต ประยูรวิวัฒน์, นายสุจริต ปัจฉิมนันท์, พลตำรวจตรีภาณุรัตน์ มีเพียร, นายศิริพงษ์ สมบัติศิริ, นายสุรัตน์ วงศ์รัตนภัสสร, นายธนกร ตรีพลอักษร, นายธำรง ธิติประเสริฐ, นางสาวสุนทรา ฐิติวร",,False,,http://www.panasiafootwear.com,PAF,https://www.dataforthai.com/company/0107537001501/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,,,
'0105547140685,บริษัท ไม่มีอะไรที่เป็นไปไม่ได้ จำกัด,"NOTHING IS IMPOSSIBLE CO.,LTD.",การทำฟาร์มผักปลอดสารพิษ,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,8/39 อาคารเคเค ซิตี้ หมู่ที่ 9 ถนนบางบัวทอง-สุพรรณบุรี ตำบลละหาร อำเภอบางบัวทอง จ.นนทบุรี 11110,ยังดำเนินกิจการอยู่,14/10/2547,14 ตุลาคม 2547,290000000,"กรรมการ: นายกฤษณะ กฤตมโนรถ, นางตวงพร เลาหบุตร, นายกฤษณ์ กฤตมโนรถ, นายชัยวัฒน์ เจริญรุ่งโรจน์คุณ",,False,,,,https://www.dataforthai.com/company/0105547140685/,,,,,,,,,,
'0105535054967,บริษัท แสงบูรพา แพลนเทชั่น จำกัด,"SANGBURAPHA PLANTATION CO., LTD.",การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองที่ไม่ใช่ เพื่อเป็นที่พักอาศัย,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,133/21-37 หมู่ที่ 7 ถนนสุขุมวิท ตำบลบางปูใหม่ อำเภอเมืองสมุทรปราการ จ.สมุทรปราการ 10280,ยังดำเนินกิจการอยู่,26/3/2535,26 มีนาคม 2535,30000000,"กรรมการ: นายชินยะ วงษ์เจริญสิน, นายธีรวัจน์ วงษ์เจริญสิน, นายกิติชัย วงษ์เจริญสิน, นายมานิต วงษ์เจริญสิน",,False,,,,https://www.dataforthai.com/company/0105535054967/,,,,,,,,,,
'0115562027398,บริษัท อินดิเพนเดนท์ พร็อพเพอร์ตี้ จำกัด,"INDEPENDENT PROPERTY CO., LTD.",ทำการเกษตร,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,66/62 หมู่ที่ 3 ตำบลบ้านฉาง อำเภอเมืองปทุมธานี จ.ปทุมธานี 12000,ยังดำเนินกิจการอยู่,17/10/2562,17 ตุลาคม 2562,35000000,กรรมการ: นายวีรวิน ขอไพบูลย์,,False,,,,https://www.dataforthai.com/company/0115562027398/,,,,,,,,,,
'0115563024805,บริษัท เอพีไอ ไบโอโซลูชั่น จำกัด,API BIOSOLUTIONS CORPORATION LIMITED,,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,899 หมู่ที่ 2 ตำบลท้ายบ้านใหม่ อำเภอเมืองสมุทรปราการ จ.สมุทรปราการ 10280,ยังดำเนินกิจการอยู่,23/11/2563,23 พฤศจิกายน 2563,150000000,"กรรมการ: นายวิจิตร รัตนศิริวิไล, นายพรวิทย์ รัตนศิริวิไล",,False,,,,https://www.dataforthai.com/company/0115563024805/,,,,,,,,,,
'0115560024251,บริษัท แอลทีซี แซฟไฟร์ จำกัด,LTC SAPPHIRE COMPANY LIMITED,ประกอบกิจการลงทุนทั่วไป,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,40/1 ห้องดี หมู่ที่ 12 ซอยหลวงแพ่ง 8 ถนนหลวงแพ่ง ตำบลศีรษะจรเข้น้อย อำเภอบางเสาธง จ.สมุทรปราการ 10570,ยังดำเนินกิจการอยู่,10/10/2560,10 ตุลาคม 2560,160000000,"กรรมการ: นายภาณุทัต ลิมธงชัย, นางสาวพรรษชล ลิมธงชัย, นางพรทิพย์ ลิมธงชัย",,False,,,,https://www.dataforthai.com/company/0115560024251/,,,,,,,,,,
'0115565007932,บริษัท จิรากูล การเกษตร จำกัด,"JIRAKUL KARNKASET CO., LTD.",ประกอบกิจการเพาะเลี้ยงกุ้งเพื่อการเกษตร,การเพาะเลี้ยงกุ้งทะเล,61/1 หมู่ที่ 6 ตำบลราชาเทวะ อำเภอบางพลี จ.สมุทรปราการ 10540,ยังดำเนินกิจการอยู่,11/3/2565,11 มีนาคม 2565,40000000,"กรรมการ: นางจิราพร แซ่เฮียะ, นายนุกูล แซ่เฮียะ, นางสมธิดา แซ่เฮียะ",,False,,,,https://www.dataforthai.com/company/0115565007932/,,,,,,,,,,
'0405563002850,บริษัท บลูฮาร์เวสท์ จำกัด,"BLUEHARVEST CO., LTD.",ให้เช่าที่ดิน,การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็น ของตนเองหรือเช่าจากผู้อื่นเพื่อเป็นที่พักอาศัย,545 หมู่ที่ 8 ถนนเหล่านาดี ตำบลเมืองเก่า อำเภอเมืองขอนแก่น จ.ขอนแก่น 40000,ยังดำเนินกิจการอยู่,8/7/2563,8 กรกฎาคม 2563,55000000,"กรรมการ: นายไชยยศ เสรีโยธิน, นายศิวกร เสรีโยธิน, นายณัฐชนน เสรีโยธิน",,False,,,,https://www.dataforthai.com/company/0405563002850/,,,,,,,,,,
'0505563002182,บริษัท ยูจัน ไฮแลนด์ จำกัด,"YUCHAN HIGHLAND CO., LTD.",ประกอบกิจการปลูกพืชผักกินผล,การปลูกพืชผักกินผลรวมถึงแตงชนิดต่าง ๆ รวมถึงการเพาะเมล็ดพันธุ์ผัก,177 หมู่ที่ 2 ตำบลออนเหนือ อำเภอแม่ออน จ.เชียงใหม่ 50130,ยังดำเนินกิจการอยู่,7/2/2563,7 กุมภาพันธ์ 2563,40000000,"กรรมการ: นายทาดาชิ โมริโมโดะ, นายชิเกะฮิโระ โมริโมโตะ, นางริกะ โมริโมโตะ, นายฮิโระฟุมิ อะมะโนะ, นายวิชัย สามโกเศศ, นางจันทร์จรัส สามโกเศศ, นายวรนล สามโกเศศ, นางสาวอรญา นิ่มพร้าว",,False,,,,https://www.dataforthai.com/company/0505563002182/,,,,,,,,,,
'0105538066095,บริษัท วิจิตรรังษี จำกัด,"VICHIT-RANGSRI CO., LTD.",ให้เช่า ซื้อและขายอสังหาริมทรัพย์,การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็น ของตนเองหรือเช่าจากผู้อื่นเพื่อเป็นที่พักอาศัย,27 ซอยปุณณวิถี 29/1 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,ยังดำเนินกิจการอยู่,2/6/2538,2 มิถุนายน 2538,33000000,"กรรมการ: นางสาวกุลวดี สุพรรณธะริดา, นายอนันต์ ณัฏฐสมบูรณ์, นางกรรณิการ์ ณัฏฐสมบูรณ์",,False,,,,https://www.dataforthai.com/company/0105538066095/,,,,,,,,,,
'0105565068443,บริษัท สมุย ออร์แกนิก ฟาร์ม จำกัด,"SAMUI ORGANIC FARM CO., LTD.",การปลูกพืชผักกินผลรวมถึงแตงชนิดต่างๆ รวมถึงการเพาะเมล็ดพันธุ์ผัก,การปลูกพืชผักกินผลรวมถึงแตงชนิดต่าง ๆ รวมถึงการเพาะเมล็ดพันธุ์ผัก,16/21 ซอย อ่อนนุช 74/1 แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250,ยังดำเนินกิจการอยู่,22/4/2565,22 เมษายน 2565,1000000000,กรรมการ: หม่อมหลวงธารทิพย์ สุทัศนีย์,,False,,,,https://www.dataforthai.com/company/0105565068443/,,,,,,,,,,
'0105533100465,บริษัท อุษรินทร์ แลนด์ ดีเวลลอปเมนท์ จำกัด,"USARINT LAND DEVELOPMENT CO., LTD",ให้เช่าพื้นที่,การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของ ตนเองหรือเช่าจากผู้อื่นที่ไม่ใช่เพื่อเป็นที่พักอาศัย,603 ถนนประชาอุทิศ แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,ยังดำเนินกิจการอยู่,22/8/2533,22 สิงหาคม 2533,55000000,"กรรมการ: นางอุษา มนต์เสรีนุสรณ์, นายประวิทย์ มนต์เสรีนุสรณ์",,False,,,,https://www.dataforthai.com/company/0105533100465/,,,,,,,,,,
'0105560070041,บริษัท 789 สมาร์ท ฟาร์เมอร์ส จำกัด,789 SMART FARMERS COMPANY LIMITED,ปลูกมันสำปะหลังจำหน่าย,การปลูกมันสำปะหลัง,89 หมู่ที่ 5 ตำบลครึ่ง อำเภอเชียงของ จ.เชียงราย 57140,ยังดำเนินกิจการอยู่,27/4/2560,27 เมษายน 2560,31000000,"กรรมการ: นางภัธธา ศรีติสาร, นายภาณุพงศ์ ยินดีชีพ",,False,,,,https://www.dataforthai.com/company/0105560070041/,,,,,,,,,,
'0105549067454,บริษัท คัสสาวา แลนด์ จำกัด,CASSAVA LAND COMPANY LIMITED,ปลูกมันสำปะหลัง,การปลูกมันสำปะหลัง,888 อาคารไอทาวเวอร์ ชั้น 30 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,ยังดำเนินกิจการอยู่,1/6/2549,1 มิถุนายน 2549,150000000,กรรมการ: นางสาวทองทิพย์ ทรัพย์รื่นรวย,,False,,,,https://www.dataforthai.com/company/0105549067454/,,,,,,,,,,
'0105538078905,บริษัท เจริญพรพลังงาน จำกัด,CELLULARA VISION COMPANY LIMITED,,การปลูกมันสำปะหลัง,888 อาคารไอทาวเวอร์ ชั้นที่ 8 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,ยังดำเนินกิจการอยู่,4/7/2538,4 กรกฎาคม 2538,380000000,"กรรมการ: นางสาวขวัญศิรินทร์ โรจนพฤกษ์, นายสุรชัย สุขศรีวงศ์",,False,,www.eternalenergy.co.th,,https://www.dataforthai.com/company/0105538078905/,,,,,,,,,,
'0135552009575,บริษัท ซีดีซี พิมาน จำกัด,CDC PIMARN COMPANY LIMITED,กสิกรรม ปลูกมันและข้าวโพด,การปลูกมันสำปะหลัง,19 หมู่ที่ 1 ตำบลลาดสวาย อำเภอลำลูกกา จ.ปทุมธานี 12150,ยังดำเนินกิจการอยู่,9/10/2552,9 ตุลาคม 2552,36000000,"กรรมการ: นายโฉลก สัมพันธารักษ์, นายพลังเทพ ประพรรดิจักกิจ, นางทิตยาวดี สัมพันธารักษ์, นายวิวรรธน์ กาญจนนันทิวัฒน์, นายภาคย์ เหล่าสุวรรณวัฒน์",,False,,,,https://www.dataforthai.com/company/0135552009575/,,,,,,,,,,
'0115547008299,บริษัท บุญเอนก จำกัด,BOON ANEK COMPANY LIMITED,ปลูกพืชการเกษตรมันสำปะหลัง,การปลูกมันสำปะหลัง,888 อาคารไอทาวเวอร์ ชั้นที่ 8 แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,ยังดำเนินกิจการอยู่,4/8/2547,4 สิงหาคม 2547,540000000,"กรรมการ: นางสาวขวัญศิรินทร์ โรจนพฤกษ์, นายสุรชัย สุขศรีวงศ์",,False,,eternalenergy.co.th,,https://www.dataforthai.com/company/0115547008299/,,,,,,,,,,
'0105534032102,บริษัท พีเอช.ดี.เชียงราย จำกัด,PH.D.CHIANGRAI COMPANY LIMITED,,การปลูกมันสำปะหลัง,23 อาคารสรชัย ซอยสุขุมวิท 63 (เอกมัย) ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,ยังดำเนินกิจการอยู่,4/4/2534,4 เมษายน 2534,60000000,"กรรมการ: นายสรดิษ วิญญรัตน์, นางวรจันทร์ วิญญรัตน์, นายชยุส ยังพิชิต, คุณหญิงชดช้อย โสภณพนิช",,False,,,,https://www.dataforthai.com/company/0105534032102/,,,,,,,,,,
'0105551089281,บริษัท อิมเพรส ฟาร์มมิ่ง จำกัด,"IMPRESS FARMING CO.,LTD.",ประกอบธุรกิจปลูกและจำหน่ายมันสำปะหลัง,การปลูกมันสำปะหลัง,160/833 อาคารไอทีเอฟ-สีลมพาเลส ชั้น 32 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500,ยังดำเนินกิจการอยู่,8/8/2551,8 สิงหาคม 2551,70000000,"กรรมการ: นางสาวธนิกา จินตนะพันธ์, นายโจฮาน นอร์ ไซมิ บิน โจฮาริ, นายชา ฟุย มิน",,False,,,,https://www.dataforthai.com/company/0105551089281/,,,,,,,,,,
'0505549002294,บริษัท เชียงใหม่ฟาร์มเห็ด จำกัด,CHIANGMAI MUSHROOM FARM COMPANY LIMITED,,การเพาะเห็ด,29 หมู่ที่ 14 ถนนเชียงใหม่-พร้าว ตำบลแม่แฝกใหม่ อำเภอสันทราย จ.เชียงใหม่ 50290,ยังดำเนินกิจการอยู่,20/4/2549,20 เมษายน 2549,41000000,"กรรมการ: นายชิช เชียง หลิว, นายเจ๋อ เหยิน เฉิน",,False,,,,https://www.dataforthai.com/company/0505549002294/,,,,,,,,,,
'0105545103308,บริษัท ปิยะพรอินเตอร์เอโกรโลยี จำกัด,"PIYAPORN INTERAGROLOGY CO., LTD.",ผลิตและจำหน่ายเห็ดออรินจิ ฟาร์มเห็ด,การเพาะเห็ด,150/2 หมู่ที่ 3 หมู่บ้านหน้าวัดเขามัน ตำบลทับกวาง อำเภอแก่งคอย จ.สระบุรี 18260,ยังดำเนินกิจการอยู่,1/10/2545,1 ตุลาคม 2545,30000000,กรรมการ: นายปรีชา กิตติชูโชติ,,False,,,,https://www.dataforthai.com/company/0105545103308/,,,,,,,,,,
